Year,Series,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
2010,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
2011,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.31578947
2012,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,28.07017544
2013,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.80701754
2014,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,21.05263158
2015,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,24.56140351
2016,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,28.07017544
2017,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.80701754
1990,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,42.10526316
1991,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,38.59649123
1992,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,36.84210526
1993,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.8245614
1994,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.07017544
1995,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.8245614
1996,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,26.31578947
1997,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,28.07017544
1998,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,24.56140351
1999,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.80701754
2000,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,22.80701754
2001,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.05263158
2002,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,21.05263158
2003,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2004,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2005,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2006,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2007,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,19.29824561
2008,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2009,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
2010,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,17.54385965
